time,step-size,{bodyFMU}.body.body.omega.flow,{bodyFMU}.body.body.v.flow[1],{bodyFMU}.body.robot_theta,{bodyFMU}.body.robot_x,{bodyFMU}.body.robot_y,{bodyFMU}.body.robot_z,{controllerFMU}.controller.servoLeftVal,{controllerFMU}.controller.servoRightVal,{sensor1FMU}.sensor1.lf_1_sensor_reading,{sensor2FMU}.sensor2.lf_1_sensor_reading
17.13999999999988,0.01,0.3113938225266133,0.051668525298504485,3.3622102112894257,-0.1108045301574519,-0.1541187932564379,0.0,0.1,-0.5,255.00000000000006,14.000000000000004
17.14999999999988,0.01,0.32323127898192616,0.05167036140095209,3.366132950718524,-0.11064463200668181,-0.15461238730740873,0.0,0.1,-0.5,254.00000000000006,6.000000000000002
17.159999999999883,0.01,0.21991748863610452,0.051668809261454986,3.368527016688341,-0.11049697774963327,-0.15510863122462998,0.0,0.1,-0.5,254.00000000000006,12.000000000000004
17.169999999999884,0.01,0.3072240337013185,0.051669877129467204,3.371202344548713,-0.11034949358976961,-0.15560482877331935,0.0,0.1,-0.5,255.00000000000006,8.000000000000002
17.179999999999886,0.01,0.31176160823061905,0.05166989568048343,3.3743346476799627,-0.11019324956613338,-0.15609888396234803,0.0,0.1,-0.5,255.00000000000006,8.000000000000002
17.189999999999888,0.01,0.3250612286871572,0.051669962708757615,3.377493006051992,-0.11003518415808472,-0.1565923812922721,0.0,0.1,-0.5,254.00000000000006,10.000000000000002
17.19999999999989,0.01,0.3469909211686794,0.05167020588977148,3.380861534672014,-0.10987321614286696,-0.15708480817856973,0.0,0.1,-0.5,254.00000000000006,5.000000000000001
17.20999999999989,0.01,0.3614033864591754,0.051670331626770795,3.3844047992024726,-0.10970725374801851,-0.157576112156201,0.0,0.1,-0.5,254.00000000000006,9.000000000000002
17.219999999999892,0.01,0.376998163768036,0.05167048191607276,3.388095717731364,-0.10953774638879321,-0.15806637369092755,0.0,0.1,-0.5,255.00000000000006,11.000000000000002
17.229999999999894,0.01,0.39206514529372827,0.05167063427502581,3.3919424080591085,-0.1093645012857469,-0.1585555162255996,0.0,0.1,-0.5,254.00000000000006,7.000000000000002
17.239999999999895,0.01,0.40602517934380444,0.05167077285100131,3.3959332967855684,-0.10918757157075357,-0.15904352289843016,0.0,0.1,-0.5,255.00000000000006,13.000000000000004
